Date (WET),Capacity,Capacity Inferred (EnAppSys),Sheffield Solar Outturn (Max),Sheffield Solar Outturn,National Grid Forecast (Max),Sheffield Solar Upper Bound,Sheffield Solar Lower Bound,National Grid Forecast,Solar Forecast (EnAppSys),Solar D-1 Forecast (EnAppSys),Solar P10 Forecast (EnAppSys),Solar P90 Forecast (EnAppSys)
,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW
[22/10/2018 09:30],12960.0,11620.6,3680.0,3680.0,3700.0,3730.0,3640.0,3700.0,,,,
[22/10/2018 10:00],12960.0,11620.6,4590.0,4590.0,4620.0,4640.0,4540.0,4620.0,,,,
[22/10/2018 10:30],12960.0,11620.6,5400.0,5400.0,5430.0,5450.0,5350.0,5430.0,,,,
[22/10/2018 11:00],12960.0,11620.6,5970.0,5970.0,6010.0,6020.0,5920.0,6010.0,,,,
[22/10/2018 11:30],12960.0,11620.6,6280.0,6280.0,6320.0,6320.0,6230.0,6320.0,,,,
[22/10/2018 12:00],12960.0,11620.6,6610.0,6610.0,6660.0,6660.0,6560.0,6660.0,,,,
[22/10/2018 12:30],12960.0,11620.6,6640.0,6640.0,6680.0,6680.0,6590.0,6680.0,,,,
[22/10/2018 13:00],12960.0,11620.6,6420.0,6420.0,6470.0,6470.0,6370.0,6470.0,,,,
[22/10/2018 13:30],12960.0,11620.6,6310.0,6310.0,6360.0,6360.0,6270.0,6360.0,,,,
[22/10/2018 14:00],12960.0,11620.6,5770.0,5770.0,5810.0,5810.0,5720.0,5810.0,,,,
[22/10/2018 14:30],12960.0,11620.6,5100.0,5100.0,5140.0,5150.0,5060.0,5140.0,,,,
